model_analyzed,command,hardware,purpose,result,status,issue_number,issue_title
nvidia/Llama-3.1-405B-Instruct-FP8,python3 examples/runtime/openai_tool_choice.py,8x NVIDIA H100 80GB HBM3,Testing official sglang function-calling behavior for the Llama-3.1-405B-Instruct-FP8 model using a non-stream OpenAI-compatible client request.,"Broken. The model returns a ChatCompletion object with 'content=None' and the tool call information in 'tool_calls', but when the tool result is provided back to the model for the final response, it fails to generate the actual text response (inconsistent with OpenAI behavior).",broken,https://github.com/sgl-project/sglang/issues/4072,[Bug] Tool call with Llama3 models has inconsistent behavior with OpenAI
nvidia/Llama-3.1-405B-Instruct-FP8,"CUDA_VISIBLE_DEVICES=0,1,2,3,4,5,6,7 python3 -m sglang.launch_server --model-path /data/huggingface/Llama-3.1-405B-Instruct-FP8 --trust-remote-code --tp 8","8x Blackwell (implied by image name and label), used CUDA_VISIBLE_DEVICES 0-7",Testing the latest lmsysorg/sglang:blackwell docker image with the Llama-3.1-405B-Instruct-FP8 model.,Broken: Failed with 'Exception: Capture CUDA graph failed: CUDA error: operation failed due to a previous error during capture'. User noted that using --disable-cuda-graph resulted in 'really bad' output.,broken,https://github.com/sgl-project/sglang/issues/5338,[Tracker] Blackwell support
nvidia/Llama-3.1-405B-Instruct-FP8,GLOO_SOCKET_IFNAME=eno12399np0 python3 -m sglang.launch_server --model-path meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 --tp 16 --nccl-init-addr 172.22.224.17:20000 --nnodes 4 --node-rank 3 --disable-cuda-graph --kv-cache-dtype fp8_e5m2 --chunked-prefill-size 1024 --mem-fraction-static 0.9 --disable-disk-cache,"16xA40 (4 nodes of 4xA40, ~44GB VRAM per GPU)",Attempting to run Llama-3.1-405B FP8 in a distributed setup across 4 nodes for inference.,"BROKEN: Causes Out of Memory (OOM) issues after all safetensors checkpoints have been loaded. The user tried reducing cache and context length, but the OOM persisted even with `--mem-fraction-static 0.9`.",broken,https://github.com/sgl-project/sglang/issues/1439,[Bug] Llama 405B FP8 causes OOM on 16xA40
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP8 --page-size 64 --attention-backend trtllm_mha --tp-size 8 --quantization modelopt_fp8 --kv-cache-dtype bf16,8x NVIDIA B200,Testing model performance with trtllm_mha attention backend and modelopt_fp8 quantization on Blackwell hardware.,Broken. The user explicitly stated it 'Doesn't work'. Output shown in subsequent test commands indicated garbled/nonsensical text generation.,broken,https://github.com/sgl-project/sglang/issues/12352,[Bug] `nvidia/Llama-3.1-405B-Instruct-FP8` is broken
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP8 --page-size 32 --attention-backend trtllm_mha --tp-size 8 --quantization modelopt_fp8 --kv-cache-dtype bf16,8x NVIDIA B200,Debugging by reducing the page-size to 32 to see if it resolves the broken generation issues.,Broken. User stated it 'Does not' work.,broken,https://github.com/sgl-project/sglang/issues/12352,[Bug] `nvidia/Llama-3.1-405B-Instruct-FP8` is broken
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP8 --attention-backend flashinfer --tp-size 8 --quantization modelopt_fp8 --kv-cache-dtype bf16,8x NVIDIA B200,Testing if switching the attention backend to flashinfer resolves the generation issues with the FP8 model.,Broken. User stated it 'Also does not work'.,broken,https://github.com/sgl-project/sglang/issues/12352,[Bug] `nvidia/Llama-3.1-405B-Instruct-FP8` is broken
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path nvidia/Llama-3.1-405B-Instruct-FP8 --tp-size 8 --quantization modelopt_fp8,8x NVIDIA B200,Follow-up test suggested by another developer (Edwardf0t1) removing specific KV cache and page size flags.,"Broken. Accuracy was 0 on GSM8K benchmark, though the user noted that 'test_send_one' seemed 'semi normal', generation was still considered failed.",broken,https://github.com/sgl-project/sglang/issues/12352,[Bug] `nvidia/Llama-3.1-405B-Instruct-FP8` is broken
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 --tp 16 --nccl-init-addr <head_node_ip>:8000 --nnodes 2 --node-rank 0,"2 nodes, each with 8xH100 80GB HBM3 (Total 16xH100)",Deploying Llama 3.1 405B-fp8 on two nodes using tensor parallelism (tp=16) for multinode inference on a head node.,Broken: Failed after loading the model with a TypeError: LlamaForCausalLM.forward() missing 1 required positional argument: 'attn_metadata' during CUDA graph capture.,broken,https://github.com/sgl-project/sglang/issues/1012,[Bug] Multinode Llama 3.1 405B fp8
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 --tp 16 --nccl-init-addr <head_node_ip>:8000 --nnodes 2 --node-rank 1,"2 nodes, each with 8xH100 80GB HBM3 (Total 16xH100)",Deploying Llama 3.1 405B-fp8 on two nodes using tensor parallelism (tp=16) for multinode inference on a worker node.,Broken: Failed with the same TypeError regarding 'attn_metadata' during forward pass initialization.,broken,https://github.com/sgl-project/sglang/issues/1012,[Bug] Multinode Llama 3.1 405B fp8
nvidia/Llama-3.1-405B-Instruct-FP8,python3 -m sglang.launch_server --model-path meta-llama/Meta-Llama-3.1-405B-Instruct-FP8 --tp 8,1 node with 8xH100 80GB HBM3,Testing Llama 3.1 405B-fp8 on a single node setup to debug the multinode failure.,Broken: Encountered the same TypeError: LlamaForCausalLM.forward() missing 1 required positional argument: 'attn_metadata'. Issue was later attributed to version mismatches and building vLLM from source.,broken,https://github.com/sgl-project/sglang/issues/1012,[Bug] Multinode Llama 3.1 405B fp8
