model_analyzed,command,hardware,purpose,result,status,issue_number,issue_title
nvidia/Kimi-K2-Thinking-NVFP4,python -m sglang.launch_server --model-path /models/kimi-nvpf4-modelopt --tp 8 --trust-remote-code --tool-call-parser kimi_k2 --reasoning-parser kimi_k2 --enable-metrics --enable-priority-scheduling --schedule-low-priority-values-first --log-requests --log-requests-level=1 --enable-request-time-stats-logging --priority-scheduling-preemption-threshold=1000 --port=8000 --host=0.0.0.0,8xB200,Serve a custom NVFP4 quantized version of Kimi-K2-Thinking generated via TensorRT ModelOpt.,"Broken. Encountered a fatal CUDA error: 'Check failed: t.dtype() == at::kBFloat16 (c10::Half vs. BFloat16)' during CUDA graph capture, followed by a 'Rank 0 scheduler is dead' and EOFError.",broken,https://github.com/sgl-project/sglang/issues/14677,[Bug] Cannot serve kimi k2 thinking nvfp4 checkpoint quantized with tensorrt modelopt
nvidia/Kimi-K2-Thinking-NVFP4,SGLANG_NVFP4_CKPT_FP8_GEMM_IN_ATTN=1 python -m sglang.launch_server --model-path /models/kimi-nvpf4-modelopt --tp 8 --trust-remote-code --tool-call-parser kimi_k2 --reasoning-parser kimi_k2 --enable-metrics --enable-priority-scheduling --schedule-low-priority-values-first --log-requests --log-requests-level=1 --enable-request-time-stats-logging --priority-scheduling-preemption-threshold=1000 --port=8000 --host=0.0.0.0,8xB200,Debug the dtype mismatch error by forcing FP8 GEMM in attention for the NVFP4 checkpoint.,Broken. The user reported: 'seems like the same error'.,broken,https://github.com/sgl-project/sglang/issues/14677,[Bug] Cannot serve kimi k2 thinking nvfp4 checkpoint quantized with tensorrt modelopt
nvidia/Kimi-K2-Thinking-NVFP4,python -m sglang.launch_server --model-path nvidia/Kimi-K2-Thinking-NVFP4 --tp 8 --trust-remote-code --tool-call-parser kimi_k2 --reasoning-parser kimi_k2 --enable-metrics --enable-priority-scheduling --schedule-low-priority-values-first --log-requests --log-requests-level=1 --enable-request-time-stats-logging --priority-scheduling-preemption-threshold=1000 --port=8000 --host=0.0.0.0,8xB200,Test the official NVIDIA NVFP4 checkpoint performance in SGLang.,"Working but underperforming. The user observed that model performance was 'pretty slow', even slower than the base BF16 checkpoint. Profiling showed significant time spent in Cutlass kernels compared to other checkpoints.",working,https://github.com/sgl-project/sglang/issues/14677,[Bug] Cannot serve kimi k2 thinking nvfp4 checkpoint quantized with tensorrt modelopt
nvidia/Llama-3.1-8B-Instruct-NVFP4,python3 -m sglang.bench_one_batch --model-path nvidia/Llama-3.1-8B-Instruct-NVFP4 --quantization modelopt_fp4 --batch-size 1 --input-len 1024 --output-len 1024 --kv-cache-dtype nvfp4_e2m1,"Mention of sm100 (Blackwell) requirement for certain kernels, but specific test GPU not explicitly named.",Reference testing command for the new NVFP4 KV cache implementation. Evaluates performance and functionality of fp4 quantization and kv-cache-dtype using modelopt_fp4.,Status is described as 'extremely slow' because the current implementation dequantizes from fp4 to bf16 every time. The user also reports a 'RuntimeError: [FP4 gemm Runner] Failed to initialize cutlass FP4 gemm on sm100. Error: Error Internal' related to TMA descriptor initialization.,broken,https://github.com/sgl-project/sglang/pull/15133,Add NVFP4-style KV Cache
nvidia/Llama-4-Scout-17B-16E-Instruct-NVFP4,"python -c 'import sglang as sgl; llm = sgl.Engine(model_path=""/home/scratch.omniml_data_2/HF_model_hub/Llama-4-Scout-17B-16E-Instruct-FP4"", quantization=""modelopt_fp4"", tp_size=4, context_length=1024, attention_backend=""flashinfer""); prompts = [""Hello, my name is"", ""The president of the United States is"", ""The capital of France is"", ""The future of AI is""]; sampling_params = {""temperature"": 0.7, ""top_p"": 0.9, ""max_new_tokens"": 128, ""skip_special_tokens"": True}; outputs = llm.generate(prompts, sampling_params); [print(f""Prompt: {p}\nGenerated: {o[\""text\""]}\n"") for p, o in zip(prompts, outputs)]'",Not specified (requires at least 4 GPUs for tp_size=4),"Accuracy testing for new ModelOpt NVFP4 workflow support in SGLang, specifically testing weight/scale loading logic for Llama 4 Scout. Uses flashinfer backend as required for Llama 4.","Working. Successfully loaded the model and generated coherent text outputs for various prompts (e.g., correctly identified Paris as the capital of France and generated contextually relevant responses for other prompts).",working,https://github.com/sgl-project/sglang/pull/9526,Support modelopt llama4 nvfp4 workflow and fix issues
nvidia/Llama-4-Scout-17B-16E-Instruct-NVFP4,python3 -m sglang.launch_server --model-path=nvidia/Llama-4-Scout-17B-16E-Instruct-FP8 --tp=8 --trust-remote-code --mem-fraction-static 0.7 --context-length=131072 --attention-backend=fa3 --enable-multimodal --tool-call-parser=pythonic --cuda-graph-max-bs=48 --host=0.0.0.0 --port=8000,"Not explicitly stated, but includes --tp=8","Testing model deployment with FlashInfer-3 (fa3) backend, multimodal support, and tool calling.",FAILED: ValueError: Unknown quantization method: modelopt. The server failed to recognize the default 'modelopt' quantization associated with the FP8 checkpoint due to missing registration in the code at that time.,broken,https://github.com/sgl-project/sglang/pull/10154,Enable native ModelOpt quantization support (3/3)
nvidia/Llama-4-Scout-17B-16E-Instruct-NVFP4,python3 -m sglang.launch_server --model-path=nvidia/Llama-4-Scout-17B-16E-Instruct-FP8 --tp=8 --trust-remote-code --mem-fraction-static 0.7 --context-length=131072 --attention-backend=triton --enable-multimodal --tool-call-parser=pythonic --cuda-graph-max-bs=48 --host=0.0.0.0 --port=8000 --quantization=modelopt_fp8,"Not explicitly stated, but includes --tp=8",Testing explicit quantization flag 'modelopt_fp8' using Triton backend.,FAILED: launch_server.py: error: argument --quantization: invalid choice: 'modelopt_fp8'. The argument was not yet accepted by the CLI parser in the current build.,broken,https://github.com/sgl-project/sglang/pull/10154,Enable native ModelOpt quantization support (3/3)
nvidia/Llama-4-Scout-17B-16E-Instruct-NVFP4,python3 -m sglang.launch_server --model-path=nvidia/Llama-4-Scout-17B-16E-Instruct-FP8 --tp=8 --trust-remote-code --mem-fraction-static 0.7 --context-length=131072 --attention-backend=triton --enable-multimodal --tool-call-parser=pythonic --cuda-graph-max-bs=48 --host=0.0.0.0 --port=8000 --quantization=modelopt,"Not explicitly stated, but includes --tp=8",Testing explicit quantization flag 'modelopt' (legacy/auto-detect) using Triton backend.,FAILED: ValueError: Unknown quantization method: modelopt. The server failed to map the 'modelopt' string to the internal quantization config class.,broken,https://github.com/sgl-project/sglang/pull/10154,Enable native ModelOpt quantization support (3/3)
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,python -m sglang.test.gsm8k --model nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4 --max-mamba-cache-size 256,NVIDIA Blackwell (implied by requirements for NVFP4),Unit testing GSM8K benchmark accuracy for the NVFP4 quantized version of the Nemotron-Nano-9B-v2 model.,Expected accuracy: 0.855. The test is modularized to use the GSM8KMixin.,working,https://github.com/sgl-project/sglang/pull/13506,modularize gsm8k and mmmu test classes
nvidia/NVIDIA-Nemotron-Nano-9B-v2-NVFP4,python3 -m sglang.launch_server --model-path nvidia/NVIDIA-Nemotron-Nano-9B-v2-FP8--max-mamba-cache-size 256,,Benchmark GSM8K performance on the FP8 variant of Nemotron-Nano-9B-v2 using SGLang.,GSM8K score: 0.881 ± 0.008. Equivalent to vLLM performance.,working,https://github.com/sgl-project/sglang/pull/12018,Feature/nano v2 offline modelopt fp8 and nvfp4
